address,auctiondate,baths,beds,cars,link,openhouse,price,null
"903/279 Wellington Parade South, East...",,2,3,2,/property-apartment-vic-east+melbourne-125213390,Sat 29 Apr,"$2,550,000",
"127 Gipps Street, East Melbourne, Vic 3002",Sat 20 May,2,4,2,/property-house-vic-east+melbourne-125311298,Sat 29 Apr,Contact Agent,
"10/131 Hotham Street, East Melbourne, Vic 3002",,2,3,1,/property-apartment-vic-east+melbourne-125304566,,Contact Agent,
,,,,,,,,
,,,,,,,,
"1/109 George Street, East Melbourne, Vic 3002",Sat 29 Apr,1,2,,/property-apartment-vic-east+melbourne-125160782,Sat 29 Apr,Contact Agent,
"4/24 Hotham Street, East Melbourne, Vic 3002",Sat 13 May,1,2,1,/property-apartment-vic-east+melbourne-125261058,Sat 29 Apr,"$800,000-$880,000",
"23/155 Powlett Street, East Melbourne, Vic 3002",,1,1,,/property-apartment-vic-east+melbourne-124993038,,"$695,000",
"G08W/189 Powlett Street, East Melbourne, Vic...",Sat 20 May,2,2,1,/property-apartment-vic-east+melbourne-125323218,Sat 29 Apr,Contact Agent,
"P01p/191 Powlett Street, East Melbourne, Vic...",,1,1,1,/property-apartment-vic-east+melbourne-125031626,Sat 29 Apr,"$445,000",
"1702, 279 Wellington Parade South, East...",,4,4,2,/property-apartment-vic-east+melbourne-125250042,Sat 29 Apr,Expressions for Interest Closing May 15th at 5pm,
"19 Gipps Street, East Melbourne, Vic 3002",,2,2,2,/property-apartment-vic-east+melbourne-125182246,,Contact Agent,
"G08W/189 Powlett Street, East Melbourne, Vic...",Sat 20 May,2,2,1,/property-apartment-vic-east+melbourne-125329642,Sat 29 Apr,Contact Agent,
"12.07V/280 Albert Street, East Melbourne, Vic...",,2,2,1,/property-apartment-vic-east+melbourne-124924794,,"$1,260,000",
"109V/162 Albert Street, East Melbourne, Vic 3002",,1,2,1,/property-apartment-vic-east+melbourne-124851882,Sat 29 Apr,"$630,000",
"7.06V/280 Albert Street, East Melbourne, Vic...",,2,2,2,/property-apartment-vic-east+melbourne-124780542,,"$1,410,000",
"8.15/280 Albert Street, East Melbourne, Vic 3002",,2,2,1,/property-apartment-vic-east+melbourne-124780510,,"$1,390,000",
"3.15/280 Albert Street, East Melbourne, Vic 3002",,1,1,,/property-apartment-vic-east+melbourne-124780090,,"$510,000",
"13.01V/280 Albert Street, East Melbourne, Vic...",,2,2,2,/property-apartment-vic-east+melbourne-124780034,,"$1,765,000",
"6.01V/280 Albert Street, East Melbourne, Vic...",,2,2,2,/property-apartment-vic-east+melbourne-124779998,,"$1,750,000",
"8.06/280 Albert Street, East Melbourne, Vic 3002",,1,1,,/property-apartment-vic-east+melbourne-124779994,,"$715,000",
"50 Hotham Street, East Melbourne, Vic 3002",,4,7,2,/property-house-vic-east+melbourne-124749314,,For Sale By Negotiation,
"16/101 George Street, East Melbourne, Vic 3002",,1,1,,/property-apartment-vic-east+melbourne-124245038,,"Private Sale $215,000",
"181 Gipps Street, East Melbourne, Vic 3002",,3,3,4,/property-apartment-vic-east+melbourne-124192162,,Contact Agent,
"114/48 Wellington Parade, East Melbourne, Vic...",,1,1,,/property-apartment-vic-east+melbourne-121368634,,"$279,000",
"105/48 Wellington Parade, East Melbourne, Vic...",,1,1,,/property-apartment-vic-east+melbourne-121221306,,"$315,000",
"6/60 Clarendon Street, East Melbourne, Vic 3002",,3,3,2,/property-apartment-vic-east+melbourne-120337401,,POA,
"1412/594 St Kilda Road, Melbourne, Vic 3004",,1,2,1,/property-apartment-vic-melbourne-125343962,Sat 29 Apr,"$620,000",
"649 Queensberry Street, North Melbourne, Vic...",Sat 29 Apr,1,2,,/property-house-vic-north+melbourne-125111630,Sat 29 Apr,Contact Agent,
"2/5 Stanhope Court, South Yarra, Vic 3141",Sat 27 May,1,2,1,/property-apartment-vic-south+yarra-125342854,Sat 6 May,Contact Agent,
"5904/35 Queensbridge Street, Southbank, Vic 3006",,2,2,2,/property-apartment-vic-southbank-125111282,Sat 29 Apr,"$1,150,000 - $1,250,000",
"101/80 Cade Way, Parkville, Vic 3052",,2,2,1,/property-apartment-vic-parkville-125110926,Sat 29 Apr,"$530,000",
"22/380 Toorak Road, South Yarra, Vic 3141",Sat 27 May,2,3,2,/property-apartment-vic-south+yarra-125341634,Wed 10 May,"$950,000 - $1,045,000",
"30/30 Murphy Street, South Yarra, Vic 3141",Sat 13 May,1,2,1,/property-apartment-vic-south+yarra-125236606,Sat 29 Apr,"$580,000 - $620,000",
"35/91-101 Leveson Street, North Melbourne,...",,1,1,1,/property-apartment-vic-north+melbourne-124598346,Sat 29 Apr,"$427,000",
"12/110 Caroline Street, South Yarra, Vic 3141",,1,1,1,/property-apartment-vic-south+yarra-125110414,Sat 29 Apr,"$469,000",
"412/4 Bik Lane, Fitzroy North, Vic 3068",,1,2,1,/property-apartment-vic-fitzroy+north-125110278,,"$559,000",
"2010/7 Riverside Quay, Southbank, Vic 3006",,1,2,1,/property-apartment-vic-southbank-125110274,,"$758,000",
"1BR/499 St Kilda Road, Melbourne, Vic 3004",,1,1,1,/property-apartment-vic-melbourne-125338062,,"$450,000",
"404/26-28 Wilson Street, South Yarra, Vic 3141",,1,1,,/property-apartment-vic-south+yarra-125235506,Sat 29 Apr,"PRIVATE SALE $365,000",
,,,,,,,,
,,,,,,,,